,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
147,Farah,0,AF,1562977492,19,32.37,62.11,26.85,2.53
148,Santa Fe,98,AR,1562977492,93,-31.62,-60.7,15.0,1.0
149,Talcahuano,75,CL,1562977492,87,-36.72,-73.12,12.0,5.1
150,Rach Gia,20,VN,1562977335,100,10.02,105.08,26.0,0.5
151,East London,39,ZA,1562977493,89,-33.02,27.91,13.05,5.51
152,Sinnamary,0,GF,1562977493,76,5.38,-52.96,27.15,6.48
153,Vaini,96,IN,1562977493,91,15.34,74.49,24.85,1.99
154,Beyneu,19,KZ,1562977493,42,45.32,55.19,29.85,4.04
155,Taltal,30,CL,1562977494,81,-25.41,-70.49,10.65,1.75
156,Hermanus,0,ZA,1562977494,93,-34.42,19.24,11.67,0.45
157,Kahului,40,US,1562977272,55,20.89,-156.47,32.0,6.2
158,Sitka,0,US,1562977494,51,37.17,-99.65,31.67,1.79
159,Sorong,70,ID,1562977494,72,-0.86,131.25,25.55,5.28
160,Bethel,75,US,1562977363,60,60.79,-161.76,20.0,6.2
161,Nkawkaw,74,GH,1562977495,99,6.55,-0.77,20.95,1.64
162,Ladario,46,PT,1562977495,80,40.7,-7.74,20.56,0.45
163,Wajima,75,JP,1562977495,73,37.4,136.9,23.0,1.5
164,Karratha,0,AU,1562977495,20,-20.74,116.85,20.55,9.73
165,Inhambane,0,MZ,1562977495,93,-23.87,35.38,14.65,1.27
166,Waingapu,0,ID,1562977496,70,-9.65,120.26,22.15,5.12
167,Georgetown,40,GY,1562977284,78,6.8,-58.16,28.0,5.1
168,Lasa,40,CY,1562977496,83,34.92,32.53,24.0,2.1
169,Medicine Hat,75,CA,1562977496,26,50.04,-110.68,29.0,4.6
170,Yilan,18,CN,1562977497,72,43.11,129.52,22.35,0.8
171,Mnogovershinnyy,10,RU,1562977497,69,53.94,139.92,19.55,1.49
172,Northam,63,AU,1562977497,87,-31.65,116.67,9.0,1.0
173,Namie,75,JP,1562977497,69,37.52,140.86,25.56,5.1
174,Mahibadhoo,88,MV,1562977498,75,3.78,72.97,28.75,4.45
175,Chuy,79,UY,1562977498,95,-33.69,-53.46,13.35,4.15
176,Belmonte,25,PT,1562977498,80,40.36,-7.35,23.89,0.45
177,Lac du Bonnet,30,CA,1562977498,51,50.25,-96.06,23.89,0.89
178,Faya,5,SA,1562977499,49,18.39,42.45,25.0,0.45
179,Yurimaguas,20,PE,1562977499,70,-5.9,-76.1,29.0,2.6
180,Redmond,20,US,1562977493,34,47.67,-122.12,26.67,2.1
181,Geraldton,75,CA,1562977499,73,49.72,-86.95,21.0,4.1
182,Lermontovka,100,RU,1562977499,83,47.15,134.34,21.85,1.5
183,Kruisfontein,22,ZA,1562977499,93,-34.0,24.73,11.25,3.13
184,Murgab,0,TM,1562977500,45,37.5,61.97,28.0,3.68
185,Rocha,87,UY,1562977500,96,-34.48,-54.34,12.05,3.84
186,Bafq,29,IR,1562977500,21,31.6,55.4,23.95,0.86
187,Sioux Lookout,40,CA,1562977500,64,50.1,-91.92,20.0,5.7
188,Centralia,79,US,1562977312,47,46.72,-122.96,27.78,2.1
189,Victoria,75,BN,1562976742,94,5.28,115.24,25.0,0.5
190,Sahuaripa,38,MX,1562977501,85,29.05,-109.23,22.25,4.55
191,Kaputa,38,ZM,1562977501,57,-8.47,29.66,15.25,0.91
192,Poya,83,NC,1562977501,68,-21.35,165.16,20.85,1.57
193,Jasper,1,US,1562977435,59,33.83,-87.28,32.0,3.02
194,Aberdeen,1,US,1562977203,68,46.98,-123.82,27.78,5.7
195,Veraval,0,FR,1562977501,82,49.65,0.71,16.0,2.6
196,Anloga,20,GH,1562977502,94,5.79,0.9,24.0,4.6
197,Zhezkazgan,0,KZ,1562977502,39,47.8,67.71,23.35,5.04
198,Chokurdakh,90,RU,1562977502,76,70.62,147.9,16.05,8.94
199,Lahat,86,ID,1562977502,91,-3.78,103.55,19.05,1.35
200,Adelaide,40,AU,1562977442,66,-34.93,138.6,12.78,8.7
201,Sunrise Manor,40,US,1562977503,11,36.21,-115.07,41.0,2.6
202,Soe,8,EE,1562977503,100,57.91,26.05,8.33,2.6
203,Goure,50,NE,1562977503,55,13.98,10.27,28.85,2.64
204,San Patricio,90,PY,1562977503,76,-26.98,-56.83,19.45,0.83
205,Arlit,0,NE,1562977504,28,18.74,7.39,33.95,6.3
206,Sao Filipe,0,CV,1562977504,85,14.9,-24.5,22.55,8.21
207,Hakkari,70,FI,1562977504,62,61.34,23.75,11.0,2.6
208,Franklin Park,20,US,1562977504,37,41.94,-87.87,31.0,5.1
209,Salazie,75,RE,1562977504,88,-21.03,55.54,19.0,2.6
210,Clyde River,75,CA,1562977505,87,70.47,-68.59,6.0,5.7
211,Padang,21,ID,1562977505,79,-0.92,100.36,27.05,3.26
212,La Libertad,0,PE,1562977505,24,-16.38,-71.56,14.0,2.6
213,Osypenko,0,UA,1562977505,82,48.04,34.39,14.0,2.0
214,Sevlievo,86,BG,1562977506,100,43.03,25.1,16.0,0.5
215,Cidreira,98,BR,1562977506,82,-30.17,-50.22,18.55,1.62
216,Rio Gallegos,0,AR,1562977303,98,-51.62,-69.22,2.0,1.0
217,Longyearbyen,75,NO,1562977506,87,78.22,15.63,6.0,4.1
218,Kyshtovka,14,RU,1562977506,88,56.56,76.62,16.45,1.82
219,Boa Vista,75,BR,1562977507,83,2.82,-60.67,26.0,1.5
220,Coquimbo,0,CL,1562977507,93,-29.95,-71.34,11.0,5.64
221,Saskylakh,56,RU,1562977507,52,71.97,114.09,13.85,4.41
222,Nisia Floresta,40,BR,1562977507,94,-6.09,-35.21,23.0,1.5
223,Ust-Koksa,53,RU,1562977507,96,50.27,85.62,7.75,1.34
224,Chingirlau,98,KZ,1562977508,45,51.09,54.08,24.65,2.15
225,Yar-Sale,7,RU,1562977508,80,66.83,70.83,11.45,3.49
226,Severo-Kurilsk,89,RU,1562977508,93,50.68,156.12,6.95,5.42
227,Broome,90,GB,1562977509,100,52.47,1.45,16.67,2.1
228,Tabou,97,CI,1562977509,93,4.42,-7.36,22.85,2.27
229,Te Anau,95,NZ,1562977509,81,-45.41,167.72,8.75,3.12
230,Marrakesh,0,MA,1562977509,60,31.63,-7.99,22.0,3.6
231,Destin,75,US,1562977266,88,30.39,-86.5,27.22,3.1
232,Phangnga,20,TH,1562977509,94,8.45,98.53,25.0,0.58
233,Constitucion,75,MX,1562977510,40,23.99,-104.67,23.0,7.7
234,Tuy Hoa,14,VN,1562977233,65,13.08,109.3,26.75,2.88
235,Lugus,72,PH,1562977510,73,5.7,120.82,28.05,3.03
236,Aklavik,20,CA,1562977501,50,68.22,-135.01,13.0,2.6
237,Jamestown,2,AU,1562977505,75,-33.21,138.6,8.25,5.47
238,Ibb,55,YE,1562977511,61,13.97,44.18,22.65,0.87
239,Esperance,90,AU,1562977511,100,-33.86,121.89,10.0,1.5
240,Semey,0,KZ,1562977511,63,50.41,80.25,19.0,4.0
241,Manaure,0,CO,1562977511,70,11.78,-72.45,29.0,5.1
242,Rio Grande,82,BR,1562977511,96,-32.03,-52.1,15.95,2.29
243,Hermosillo,0,MX,1562977219,24,29.09,-110.96,41.67,2.68
244,Bayonet Point,90,US,1562977512,94,28.33,-82.68,25.0,1.5
245,Saint-Pierre,0,FR,1562977512,87,48.95,4.24,14.0,2.1
246,Bonavista,2,CA,1562977512,78,48.65,-53.11,10.25,3.38
247,Bay Roberts,20,CA,1562977512,87,47.58,-53.28,10.56,1.5
248,Torbay,20,CA,1562977376,87,47.66,-52.73,10.56,1.5
249,Pangai,75,TO,1562977513,69,-19.8,-174.35,25.0,5.1
250,Koumac,99,NC,1562977513,75,-20.56,164.28,21.45,0.33
251,Svetlaya,100,RU,1562977513,80,46.54,138.33,15.85,1.47
252,Ilulissat,90,GL,1562977513,87,69.22,-51.1,6.0,2.1
253,La Ronge,75,CA,1562977514,77,55.1,-105.3,17.0,3.6
254,Hay River,75,CA,1562977514,55,60.82,-115.79,16.0,3.6
255,Lorengau,93,PG,1562977514,67,-2.02,147.27,28.05,6.05
256,Traverse City,75,US,1562977465,44,44.76,-85.62,26.0,2.1
257,Kalianget,20,ID,1562977514,83,-7.35,109.91,23.0,1.0
258,Vao,67,EE,1562977515,77,59.1,26.19,9.95,2.97
259,Hammerfest,0,NO,1562977515,61,70.66,23.68,10.0,5.1
260,Americus,1,US,1562977515,78,32.07,-84.23,28.0,2.1
261,Kodiak,1,US,1562977515,20,39.95,-94.76,30.56,3.6
262,Port Saint John,90,US,1562977516,79,28.48,-80.79,31.0,2.1
263,Vila Velha,40,BR,1562977516,74,-3.71,-38.6,30.0,5.7
264,Rumuruti,99,KE,1562977516,90,0.26,36.54,12.15,2.02
265,Okhotsk,29,RU,1562977516,63,59.36,143.24,19.55,1.8
266,Port Augusta,0,AU,1562977517,75,-32.49,137.76,8.33,3.1
267,Half Moon Bay,90,US,1562977517,93,37.46,-122.43,26.11,6.2
268,Matagami,100,NG,1562977517,97,9.67,8.4,19.85,1.31
269,Alofi,90,NU,1562977517,100,-19.06,-169.92,21.0,6.7
270,Kloulklubed,75,PW,1562977518,83,7.04,134.26,27.0,6.2
271,Monywa,99,MM,1562977518,75,22.12,95.13,26.95,5.13
272,Puebloviejo,40,CO,1562977518,58,10.99,-74.28,31.0,3.1
273,Watsa,92,CD,1562977518,99,3.04,29.53,16.45,0.73
274,Le Vauclin,86,MQ,1562977518,88,14.55,-60.84,26.11,3.6
275,Clarence Town,90,AU,1562977519,50,-32.59,151.78,15.56,8.7
276,Balasore,100,IN,1562977519,81,21.5,86.92,27.25,2.69
277,Antofagasta,75,CL,1562977436,76,-23.65,-70.4,13.0,5.1
278,Mtwara,20,TZ,1562977519,88,-10.28,40.18,21.0,6.2
279,Burlington,75,CA,1562977519,72,43.32,-79.8,23.33,2.1
280,Talaya,0,RU,1562977520,82,55.79,84.89,14.44,2.0
281,Kamyshevatskaya,46,RU,1562977520,62,46.41,37.96,21.55,4.6
282,Villa Bruzual,5,VE,1562977520,97,9.33,-69.12,19.55,0.93
283,Palana,43,RU,1562977520,82,59.08,159.95,12.15,2.55
284,Powell River,75,CA,1562977267,77,49.84,-124.52,22.78,3.1
285,Oussouye,40,SN,1562977520,83,12.49,-16.54,27.0,4.1
286,Hasaki,75,JP,1562977521,83,35.73,140.83,24.0,1.0
287,Zabid,55,YE,1562977521,61,14.2,44.5,22.65,0.87
288,Kununurra,60,AU,1562977521,25,-15.77,128.74,23.0,4.1
289,Sigiriya,87,LK,1562977521,88,7.95,80.75,24.15,3.98
290,Sao Joao da Barra,0,BR,1562977235,88,-21.64,-41.05,19.0,1.0
291,Fortuna,40,US,1562977522,77,40.6,-124.16,19.0,6.7
292,Iqaluit,20,CA,1562977522,58,63.75,-68.52,13.0,2.1
293,Shwebo,99,MM,1562977522,73,22.57,95.7,27.55,6.04
294,Tiruttani,75,IN,1562977522,94,13.18,79.61,27.0,0.76
295,Vila Franca do Campo,20,PT,1562977522,82,37.72,-25.43,19.0,1.0
296,Poso,99,ID,1562977523,89,-1.4,120.75,18.45,1.74
297,Trinidad,40,BO,1562977523,78,-14.83,-64.9,27.0,0.86
298,Bijie,100,CN,1562977523,98,27.3,105.3,14.95,1.6
299,Yellowknife,75,CA,1562977523,44,62.45,-114.38,15.0,4.1
300,Ambilobe,29,MG,1562977524,66,-13.19,49.05,20.65,3.98
301,Vestmanna,100,FO,1562977524,100,62.16,-7.17,10.0,2.1
302,Verkh-Usugli,79,RU,1562977524,55,52.7,115.17,20.85,0.58
303,Tiksi,43,RU,1562977524,59,71.64,128.87,10.35,5.19
304,Avera,40,US,1562977525,70,33.19,-82.53,33.33,2.03
305,Kralendijk,0,BQ,1562977525,74,12.15,-68.27,28.0,8.2
306,Coihaique,75,CL,1562977525,93,-45.58,-72.07,4.0,2.1
307,Ostrovnoy,32,RU,1562977525,84,68.05,39.51,3.45,1.35
308,La Palma,83,CO,1562977526,90,5.36,-74.39,22.55,1.4
309,Mar del Plata,55,AR,1562977526,63,-46.43,-67.52,5.65,4.52
310,Amarante do Maranhao,86,BR,1562977526,78,-5.57,-46.74,24.15,1.06
311,Vilyuysk,9,RU,1562977527,56,63.75,121.63,25.45,1.47
312,Seoul,75,KR,1562977271,73,37.57,126.98,25.0,5.66
313,Ixtapa,75,MX,1562977527,74,20.71,-105.21,27.22,4.1
314,Meulaboh,89,ID,1562977527,75,4.14,96.13,27.95,3.33
315,Atherton,40,AU,1562977527,64,-17.27,145.48,24.44,7.2
316,Mayumba,67,GA,1562977528,90,-3.44,10.65,22.05,3.4
317,Narsaq,75,GL,1562977528,71,60.91,-46.05,11.0,4.1
318,Shimoda,75,JP,1562977528,88,34.7,138.93,25.0,4.1
319,Burns Lake,27,CA,1562977528,45,54.23,-125.76,19.35,3.57
320,Poum,20,MK,1562977529,87,41.28,20.71,11.0,2.1
321,Putina,0,PE,1562977529,34,-14.91,-69.87,9.0,1.5
322,Mehamn,97,NO,1562977529,86,71.03,27.85,6.15,2.57
323,Roald,99,NO,1562977529,81,62.58,6.12,13.0,4.1
324,Jawhar,100,IN,1562977529,93,19.91,73.23,24.75,2.49
325,Noumea,0,NC,1562977530,44,-22.28,166.46,25.0,3.1
326,Finschhafen,100,PG,1562977530,83,-6.6,147.85,19.75,0.9
327,Acapulco,75,MX,1562977530,70,16.86,-99.88,31.0,1.0
328,Lata,91,IN,1562977530,97,30.78,78.62,4.95,1.28
329,Bangolo,46,CI,1562977531,99,7.01,-7.49,21.65,1.39
330,Tara,75,JP,1562977531,77,33.0,130.15,22.78,0.5
331,Pacific Grove,40,US,1562977525,68,36.62,-121.92,32.78,5.1
332,Los Llanos de Aridane,1,ES,1562977531,73,28.66,-17.92,22.0,3.1
333,Haines Junction,86,CA,1562977531,46,60.75,-137.51,18.45,4.35
334,Maceio,0,BR,1562977440,83,-9.67,-35.74,22.0,1.5
335,Santa Cecilia,75,CR,1562977532,100,9.85,-84.31,22.78,3.6
336,Raudeberg,0,NO,1562977532,76,61.99,5.14,14.0,8.7
337,Saint-Jovite,75,CA,1562977320,73,46.12,-74.6,22.0,1.5
338,Dingle,100,PH,1562977532,76,11.0,122.67,26.45,0.31
339,Garmsar,40,IR,1562977532,20,35.22,52.34,26.85,1.16
340,Acajutla,81,SV,1562977533,70,13.59,-89.83,29.35,3.26
341,Ybycui,56,PY,1562977533,69,-26.02,-57.05,20.25,1.94
342,Druzhba,46,UA,1562977533,93,52.05,33.94,9.85,2.1
343,Iroquois Falls,75,CA,1562977533,56,48.76,-80.69,22.0,3.1
344,Batagay-Alyta,17,RU,1562977534,44,67.8,130.41,22.05,0.93
345,Dong Hoi,100,VN,1562977534,73,17.48,106.6,28.15,3.01
346,Caravelas,46,BR,1562977534,76,-17.73,-39.27,21.65,2.6
347,Tuatapere,100,NZ,1562977534,70,-46.13,167.69,13.89,0.45
348,Nouadhibou,0,MR,1562977535,77,20.93,-17.03,21.0,5.1
349,Popondetta,86,PG,1562977535,50,-8.77,148.24,23.35,0.6
350,Tubuala,40,PA,1562977535,94,9.52,-79.03,27.22,3.1
351,Bull Savanna,88,JM,1562977535,77,17.89,-77.59,28.75,2.3
352,Payo,86,ID,1562977536,91,-3.75,103.64,19.05,1.35
353,Tvoroyri,100,FO,1562977536,100,61.56,-6.81,10.0,2.1
354,Bela Vista do Paraiso,0,BR,1562977536,46,-23.0,-51.19,21.0,1.11
355,Port Hawkesbury,90,CA,1562977536,93,45.62,-61.36,15.56,4.1
356,Ambulu,14,ID,1562977536,87,-8.35,113.61,21.45,1.73
357,Hofn,100,IS,1562977537,98,64.25,-15.21,6.05,0.57
358,Nome,90,US,1562977537,55,30.04,-94.42,33.33,8.2
359,Invermere,95,CA,1562977537,56,50.51,-116.03,25.0,2.47
360,Bridgend,75,GB,1562977365,87,51.51,-3.58,17.22,2.1
361,Laukaa,0,FI,1562977537,81,62.42,25.95,9.44,3.1
362,Jay,1,US,1562977538,83,44.5,-70.22,23.0,1.5
363,Camacha,40,PT,1562977538,88,33.08,-16.33,22.0,4.1
364,Dharmadam,40,IN,1562977538,100,11.78,75.43,24.0,1.0
365,Aswan,0,EG,1562977538,13,24.09,32.9,34.0,1.5
366,Capuy,98,PH,1562977538,74,12.98,123.93,27.45,1.31
367,Egvekinot,78,RU,1562977539,27,66.32,-179.17,26.85,5.8
368,Manado,20,ID,1562977369,69,1.49,124.85,27.0,2.1
369,Labuhan,41,ID,1562977539,86,-2.54,115.51,23.45,0.35
370,Voznesenye,100,RU,1562977539,99,61.02,35.48,7.85,1.81
371,Kungurtug,100,RU,1562977539,93,50.6,97.53,12.85,0.98
372,Togur,0,RU,1562977540,69,58.36,82.83,18.55,1.18
373,Bayir,0,TR,1562977540,33,37.27,28.22,23.0,4.1
374,Puerto Leguizamo,84,CO,1562977540,92,-0.19,-74.78,22.85,0.62
